x,y
"Last night, we were playing football in the ground.",Sport
I really like the decisions my boss makes.,Colleagues
I tried to explain something to my boss.,Colleagues
I have been competing since the age of 10.,Sport
I have been trying to look good for my music video.,Music
I think watching movies is the best way to spend time.,FilmAndTV
I haven't seen my parents in a while.,Family
Their sole aim is to destabilize the government.,Politics
My parents were very happy for me.,Family
My parents were upset as I was busy in the occasion.,Family
I want to bring about a revolution in our nation.,Politics
I will earn so much that I won't be dependent on anyone ever in life.,Money
I finally increased my income.,Money
I want to start my own piano classes.,Music
I want to watch a movie to make me feel good.,FilmAndTV
Becoming a voice artist requires a lot of time.,Music
"My friends never gave up on me. They knew, I would do it.",Friendship
The Artemis Fowl books should have been adopted into movies.,FilmAndTV
I just published my first song.,Music
My colleague does embroidery in her free time.,Colleagues
I enjoy eating the most expensive food.,Food
I know this for sure that an A.I. has no feelings.,Technology
"Usually, competition is quick to enter high profit industries, driving down profits for everyone.",Sport
I listen to the latest music album when not feeling good.,Music
I got a prize for my singing at award show.,Music
I find people who plays flute really attractive.,Music
I have no interest in Politics.,Politics
I feel that some celebrity's performances are overrated.,FilmAndTV
My parents were really excited to meet my girlfriend.,Partner
These events are history in the making.,Family
I believe people's political views changes as life passes.,Politics
I started going for jogs this morning.,Health
The teachers have decided to change the syllabus,CareerAndEducation
My earnings have seen a decline! I don't know how I can make up for it!,Money
Lambs are lovely to play with!,Food
I had not prepared for the motivational speech my father game.,Family
I spoiled the fun for my brother by revealing the ending of the movie.,FilmAndTV
I drink fruit juice every morning to keep myself healthy.,Food
Many people have complained about stomach pain after eating at a restaurant.,Food
Romantic rock is trending.,Music
I like to watch YouTube videos daily.,Technology
What's your next career move going to be?,CareerAndEducation
My husband makes a mean steak.,Food
I haven't sung this one before.,Music
I went to the concert yesterday.,Music
My classmate was once again made the class captain.,Colleagues
What kind of colleagues are good?,Colleagues
My best moments were spent with my parents in childhood.,Family
Pets are a our best friends.,Friendship
You need to reboot your mind periodically!,Technology
Do you think engineering is a good choice?,Technology
I want to read this book from my childhood.,Family
I went through a bad surgery today.,Health
There is a need for funds at the auditorium.,Money
Donald Trump's personal life has been quite controversial.,Politics
I cannot determine if I really want to marry Johnathan or not.,Partner
War hit nations are the least developed in the world.,Politics
Her friends are refusing to talk to her!,Friendship
I like to keep myself updated on the new technologies.,Technology
I'd like to know how your software works.,Technology
The government needs to take strict actions for the problem of poverty.,Politics
They are firing people who are demanding a pay raise.,Money
I recently found out why my parents chose not to live with each other.,Family
The Marvel movies are one vast universe!,FilmAndTV
I might have to look into legal remedies for the situation.,Politics
My friend is going through a emotionally tough period.,Friendship
Zayn Malik's new song is in trend.,Music
Sometimes people get annoyed when shop assistants try to sell unwanted things.,Colleagues
I took a big step in resigning from my work and concentrating on my blog full time.,Technology
I was frustrated but then I spent some time with my partner!,Partner
I have to figure out the anniversary gift for my parents.,Family
My boss has always been my favourite because of his supportive And ethical behaviour.,Colleagues
I used to be a pretty good guitar player.,Music
I had a talk with my long time friend Susan today!,Friendship
I had a surprise for my parents but they have still not arrived!,Family
I love my boss but I can’t propose him. What will he think of me?,Colleagues
I wish I had better colleagues,Colleagues
Hitler killed them all!,Politics
I going to watch a political rally.,Politics
My girlfriend have decided to break up with me after complaining for a long time.,Partner
My boss is really rude to me.,Colleagues
The operation took six hours to complete.,Health
I finally confessed my love to my crush.,Partner
I told my family that I was happy and needed only there with blessings.,Family
I didn't go for a movie.,FilmAndTV
I fell in love with my classmate.,Colleagues
The air is so humid in the Amazon Rainforest!,Technology
I know that nobody cares about the history.,Family
How do you spend most of your day?,CareerAndEducation
One of my colleagues is throwing a party tonight. I don’t want to go.,Colleagues
Video logging has become very famous now.,Technology
I hate how underrated women sports are.,Sport
My cooking has become a tad bit spicy lately.,Food
I think there are so many places to drink at when you are lonely.,Food
Not all my colleagues treat me badly.,Colleagues
I learned to show them the right way to get the right income.,Money
My teachers were not willing to understand our position.,CareerAndEducation
She did not agree to come to the ball with me!,Sport
I started playing badminton when I was in school.,Sport
I want an income that can provide me the luxuries.,Money
My boss is the best person who understands the need of ethics.,Colleagues
I was planning to meet my friends for dinner but I have changed my mind!,Friendship
I will be visiting a drama artist this weekend.,Music
Everybody at school thought we were just friends!,Friendship
Motor sport is the most thrilling water sport of all!,Food
My father is fighting for his career.,CareerAndEducation
Britain shouldn't have chosen the Brexit!,Politics
I learnt to play the guitar when I was a child.,Music
He shouldn't have done that.,Partner
Is mirror less camera technology better than DSLR?,FilmAndTV
Some partners have close friends of the opposite sex.,Friendship
The bakery around the corner makes a mean chocolate cake.,Food
James had improved his relationship with his colleagues,Colleagues
"Uncooked cookie dough tastes really great, doesn't it?",Food
I don't like my friends sometimes.,Friendship
My income isn't sufficient to meet my needs.,Money
I need an advice on whether or not should I buy these tickets!,Money
I hate Mondays.,CareerAndEducation
Misunderstandings have the potential to spoil even good relations!,Family
It is better to live rich than to die rich.,Money
I think I need to change the filters of my air purifier.,Health
I want to earn more.,Money
He had a sweet tongue but the words of a liar said Stacy!,Food
"I hope I can afford a Ferrari in a couple years, it has been my dream since childhood.",Family
It's fun to watch a 3D film with my cousins.,FilmAndTV
I wear a dress gifted by my boyfriend.,Partner
He thinks that he can't win the championship!,Sport
God doesn’t judge people by their social status!,Politics
I left my work today and had to explain why to my boss.,Colleagues
I used to love editing videos.,Technology
I want to say a proper goodbye to everyone before I leave my town to become a musician.,Music
I think for a change I should try to get a new job at another firm.,CareerAndEducation
I do not like table tennis at all.,Sport
I know some measures that can prevent the risk of cough infection!,Health
Being single is scary.,Family
"According to me, self control is inhibiting to growth and self nourishment is liberating towards growth, which is why I choose self nourishment.",Food
Tomorrow is my best friend's birthday.,Friendship
I released my first album today.,Music
I always wanted to be on the high school sports team.,Sport
I think our marriage is dying.,Family
My friend developed a habit of late night screaming.,Friendship
I've been ordering food from their place for quite sometime!,Food
I dreamt of winning a lottery.,Money
The politician should not have passed such derogatory comments on live television!,Politics
I have been fighting with my grandmother over silly issues.,Family
My kids spend a lot of their time playing with their teddy bear!,Sport
My boss does not understand the importance of ethics.,Colleagues
I want my fitness to be like Sergi Constance!,Sport
I like some of my friends.,Friendship
Colour TV has been more aggressively promoted as more manufacturers have joined the competition.,FilmAndTV
I just signed a record deal.,Music
I have the worst toothache,Health
I feel miserable after my breakup.,Partner
The officer had queries regarding my source of income.,Money
We will be going for a jog in the morning.,Health
I won the ballet competition.,Sport
I won a great sum of money from the local lottery.,Money
Does smoking causes cancer?,Health
My girlfriend is cheating on me.,Partner
This is the water cycle diagram.,Food
AI would be very useful for the militaries in the future!,Technology
"I love characters from movies and novels, which are the epitome of strength and courage.",FilmAndTV
Retail robots could be the future of the in-store retail experience.,Technology
It was a hurried demand that had to be met!,CareerAndEducation
It is an amazing video game.,Technology
I got too emotional at my sister's wedding.,Family
They are not speaking to each other from a while.,Friendship
I adore my husband.,Partner
My toddler wouldn't stop crying today.,Family
I don't enjoy talking online!,Technology
My health is not in a good state.,Health
My boyfriend is not into foreplay.,Partner
The guy I met today resembled Brad Pitt!,FilmAndTV
Have you heard the news channel recently.,Politics
I want to learn how to sing just like my mother.,Family
My boyfriend cooked Glorified Rice for me today!,Food
I do not think that engineering is the way to go for me.,Technology
Die Hard is a classic movie which everyone in my class loves.,FilmAndTV
I want to run ten miles tomorrow morning.,Health
My next interviewer might be a robot!,Technology
"Even if I was given a chance, I would have not pursued a career in politics.",Politics
My soccer team has decided that we are not playing this Saturday.,Sport
I want to help single moms!,Family
Goof parenting requires understanding your children's insecurities.,Family
Does your friend take responsibility?,Friendship
Don't you want all of your friends to come to your party and celebrate with you?,Friendship
It was very difficult for my friend to control her emotions.,Friendship
The soldiers surrendered without fighting!,Politics
A fool and his money will soon be parted!,Money
I decided to purchase a Samsung 4K TV.,FilmAndTV
I wish I could get paid for doing nothing!,CareerAndEducation
I really don't have enough money to go out with them for dinner.,Money
Making money illegally is a bad thing.,Money
Some thieves broke into my house last night.,Money
My grandmother passed away.,Family
I have selected a controversial topic for my school's speech,CareerAndEducation
My brother bought the wrong size of his shoes!,Family
My girlfriend had to leave her house because of an emergency.,Partner
I love playing football.,Sport
Can you name an indoor sport?,Sport
Lately I have been involved in my school activities.,CareerAndEducation
Think and grow rich!,Money
I want to become a chef.,CareerAndEducation
Humour at the expense of others is not right.,Money
Can you drop me to my apartment?,Music
I aim to be an expert in fiscal policy.,Money
Lady Gaga has an interesting taste in fashion.,FilmAndTV
I wrote about the disappointing experiences of my life in an online journal.,Technology
There would be no competition if it rains.,Sport
He won the approval of his boss by his dedicated work!,Colleagues
I absolutely detest reality television.,Technology
The government should initiate campaigns against poverty.,Politics
Some of my classmates are threatening me.,Colleagues
I've fallen in love with one of my colleagues.,Colleagues
Wild animals are being poached for money.,Money
My boss appreciates a good sense of humour.,Colleagues
My dad is good at making cocktails.,Family
The principle aim of the policy is to bring peace to the area.,CareerAndEducation
It is implicit between me and my wife we want to go for our anniversary.,Partner
I believe colour is important when preparing a meal.,Food
I don't like to talk about politics.,Politics
I haven't gone to the movies in a while.,FilmAndTV
Big Pimpin is a good song.,Music
Do you want to be my friend?,Friendship
I pray that my daughter isn't angry with me for failing to show up!,Family
The Taj Mahal is a lovely place.,Partner
Not everyone is very hopeful about the political scenario of the UK.,Politics
Tom Cruise is my favourite actor.,FilmAndTV
I don't like Mathematics!,CareerAndEducation
I feel so  excited to meet my boyfriend.,Partner
Lately I have become very irritable and keep on snapping at my wife.,Partner
Politicians will stop at nothing to get what they want.,Politics
My wife always tries to put me down in front of her friends.,Friendship
I have decided to close this bank account.,Money
I was watching a movie last night. It made me so emotional.,FilmAndTV
I will get better soon.,Health
I fear that I might lose my job.,CareerAndEducation
If I don't choose dresses for my girlfriend she will be the worst dressed person in that party.,Partner
Rich people can afford luxuries.,Money
I maintain a professional relationship with all my colleagues.,Colleagues
I love playing hide and seek in my part time.,Sport
I can't be a billionaire.,Money
A Quiet Place is an amazing horror movie.,FilmAndTV
They drink a lot with their partners.,Food
My boss has accused me of unethical behaviour.,Colleagues
Ronald has been creating problems for me since school.,CareerAndEducation
I could not tolerate my boss's behaviour.,Colleagues
"I lost my job today, and on top of that my wallet got stolen.",CareerAndEducation
I love this romantic song called 'Heaven' by Bryan Adams.,Music
My brother and sister are passionate about the fashion industry.,Family
His new movies are disappointing.,FilmAndTV
She is engaged in social work.,Family
Is eating pizza a healthy choice?,Food
My memories made my day.,Health
My parents love spending time watching television.,Technology
My uncle is so funny and I like spending time with him.,Family
"This summer, I tried wind surfing.",Sport
The problem is that partners today are Paranoid and do not trust each other.,Partner
I moved in with my partner.,Partner
I want to earn a huge amount of money.,Money
I was not like normal kids when I was a child!,Family
My parent's anniversary is approaching soon.,Family
My friends discuss political issues and I feel out of place.,Politics
I used to play a lot of sport in a sports centre.,Sport
My law books are my favourite.,Politics
Let's be friends.,Friendship
You have first got to motivate the children and then to teach them.,Family
I enjoy drinking hot soups in the morning.,Food
I told my parents about my Indian boyfriend.,Partner
There are so many competitions going on in my school.,Sport
My friends were very disappointed.,Friendship
Two of my colleagues got into a quarrel over a pointless thing.,Colleagues
I do not enjoy spending time with my parents.,Family
We shouldn't be afraid of using Technologies.,Technology
I planned a special day for my girlfriend's birthday.,Friendship
I plan on running for 4 miles everyday.,Health
My parents wanted me to try their choice as they love it.,Family
"Celebrities, I guess have a roller coaster life.",FilmAndTV
My friend started a new business.,Friendship
That election for mayor stuck.,Politics
Weightlifting is something that has eluded me all throughout college!,Sport
My son is studying same chapter from yesterday.,CareerAndEducation
There's no growth opportunity in my current profession.,CareerAndEducation
My friends had to take a do or die choice.,Friendship
I know my family members are there for him and they look after him the way I love it.,Family
I love listening to music.,Music
Do you like black comedy as a genre in tv series?,FilmAndTV
I love these superhero films.,FilmAndTV
I find healthy people very attractive.,Health
I just hope I get to meet my classmates for sure.,Colleagues
Nothing seems to work when I declare a decision in front of my parents.,Family
I have joined best aerobics classes.,Sport
I was in tears after watching that movie.,FilmAndTV
Today we have a basketball match in the college.,Sport
Country Music always rings the right notes in my ears.,Music
"Being rich is everybody’s dream, but being nice is no one’s interest.",Money
They chose to build memories in a loop.,Health
My dream is to meet a celebrity in real life.,FilmAndTV
What if you and I were married?,Family
"He, among all the boys, seems to be naturally good in every sport!",Sport
"Whenever I can make my partner smile, it makes me happy.",Partner
The movie industry became a big business.,FilmAndTV
I tried to show my music video to my family.,Music
Too much work load has had an impact on me!,CareerAndEducation
She does her work so well! Remarkable!,CareerAndEducation
I felt sad when I saw my sibling waste his time and not studying.,CareerAndEducation
The movie was pretty good.,FilmAndTV
LaBelle is a great work.,Music
Beer is the best.,Food
It will take me over a week to get cured of cold.,Health
My boss has a plan to overcome this.,Colleagues
My boss has a hobby of exploiting me.,Colleagues
Is he your friend or your colleague?,Friendship
Do you watch videos on YouTube?,Technology
"No matter what I did, they continued having their way in office!",CareerAndEducation
Can you suggest any Inspiration Series or Movies to Watch?,FilmAndTV
"When my wallet got stolen, I had no money to return home.",Money
Most of the Television shows and Movies focus on everything but true values and true love.,FilmAndTV
I need to buy groceries before returning home tonight.,Money
How was your day?,Health
I got into a big brawl with my best friend today!,Friendship
I had fun with my friends at Sarah's party tonight.,Friendship
I want to contribute to my partner's health fund.,Partner
Every celebrity is arrogant.,FilmAndTV
"Finally, I mastered playing the guitar",Music
I don't have any Canadian friends.,Friendship
We don't step out without being aided by technology.,Technology
My relationship has hit a rough spot.,Partner
My life would change if my legs start working.,Health
My friend is suffering from depression and it is a terrible state.,Friendship
Spotify uses machine learning to figure out the likes and dislikes.,Technology
My schoolmates are now happily employed with a satisfactory job.,CareerAndEducation
Politicians often forget their promises once elected.,Politics
Eminem is so much better than MKG!,Music
He wasn't taking the news of his injury very well!,Health
My boss made a terribly sexist comment about our team.,Colleagues
"Initially, I used to gym in the evening.",Sport
My best friend just visited me over the weekend!,Friendship
I had planned to go with my friends but at the last moment something came up.,Friendship
I can't fit into my jeans anymore.,Health
I can't occupy all my friends at once.,Friendship
Should I drop out of college and take a job?,Music
I have a competition tomorrow with my junior.,Sport
I always think of being a millionaire.,Money
Rich people seem to have it all.,Money
"My childhood friend, Sophia, has become all the more attractive as a young woman.",Friendship
My mother talked to me for hours today.,Family
My friend has understood my feelings.,Friendship
A new law states workers must get equal pay.,Politics
I think that AI replacing McDonald’s employees is just the beginning,Technology
I got married yesterday.,Family
I felt humiliated when a senior colleague insulted me in front of my juniors.,Colleagues
It will be so weird for my parents to listen to death metal.,Music
My boss is a scary person to be around.,Colleagues
I enjoy making and drink a cool lemonade drink!,Food
A lot of fun in the last family get together.,Family
Golf is so expensive.,Sport
I want to become a skilled musician.,Music
My comeback was not about winning or losing; it was about the feeling of being able to compete at top level again.,Sport
It's complicated to be humorous and still be in depression.,Health
"I was angry with many friends, and disappointed and they hurt me.",Friendship
I really wanted to try bungee jumping.,Sport
My friend was pale with fear.,Friendship
I was detected with high presence of sugar in my blood!,Health
Governments should run awareness campaigns for mental health of people.,Politics
I had to ground my son today. It was really hard to do.,Family
Macbeth beautifully showcases the ill effects of political ambition.,Politics
No. I feel that the government should stay out of these fields.,Politics
He need a lot of money for his recovery.,Health
I want to try each and everything with my girlfriend.,Partner
They were trying to show off their monthly income.,Money
She does not get bogged down by competition rather she invites it!,Sport
I like both the actors,FilmAndTV
I had an argument with my boss yesterday.,Colleagues
Yesterday I told my parents about my interest in playing violin.,Music
Cycling is a popular sport.,Sport
My YouTube video reached the 1 million mark! I can't believe it!,Technology
"Despite her height, my little Dolly is lovable.",Partner
My parents looked so happy when they were looking at the family album.,Music
My colleague is a gifted musician.,Colleagues
My friend is feeling quite depressed these days.,Friendship
I have discovered another way to do it on the internet.,Technology
I had a row with my sister yesterday,Family
Being a musician is tough.,Music
I went bungee jumping last year.,Sport
My best friends are the best part of my college nostalgia.,Friendship
"The real danger is not that computers will begin to think like men, but that men will begin to think like computers.",Technology
Walking is good for health.,Health
My friend decided to choose the single life.,Friendship
I always rest after exercise.,Health
Need to update my music library.,Music
My ex-boyfriend was a terrible person!,Partner
I looking for a good tune for my next song!,Music
I met Amy at the theatre today.,FilmAndTV
Documentaries can be hard to watch.,FilmAndTV
I had a slight misunderstanding with my colleague which lead to a heated argument!,Colleagues
The music is strange!,Music
I need some financial advice.,Money
I love cricket. It's one of the very few sports that I like.,Sport
I changed my mind about buying an iPad and bought a laptop instead.,Technology
My parents are going to one place that always makes them happy.,Family
My family often watches Netflix together.,FilmAndTV
I have to wear my contact lenses every day.,Health
I want to be a rich person one day!,Money
Safe toys are absolutely crucial for the health and wellness of our kids.,Family
I want to know more about World War - II,Politics
I have changed my mind about my engagement with Adam.,Partner
Can I make friends at work?,Friendship
I feel so scared to be shouted at by my boss.,Colleagues
I believe career can shape the personality of a person.,CareerAndEducation
I feel dejected after I saw my girlfriend with my best friend.,Friendship
I have to give a speech in the gathering about wellness.,Health
I can’t relax at home.,Health
I want to leave my parents' house.,Family
"I plan to make money by working for the best company I could work under, Google.",Money
I want to read Classic English plays but there's one problem.,Music
Do you know about Brexit?,Politics
My hockey stick broke while I was playing in the field!,Sport
Do you drink alcohol?,Food
My mother discussed her problems with me.,Family
I just hate playing cricket.,Sport
No one should have fun at the expense of others.,Money
My boss is very ill.,CareerAndEducation
It heavily irritates me when my friends listen to sad songs when they are depressed.,Music
The computer I have is pretty old.,Technology
He felt very comfortable around the new colleagues.,Colleagues
I was filled willed with elation when my sister's baby was born last week!,Family
I want to learn to play Monopoly.,Money
Competition is neither good nor evil in itself.,Sport
That guy is always coughing and sneezing.,Health
Augmented Reality lets people study and observe models projected on your device,Technology
I have become obese due to lack of exercise.,CareerAndEducation
I have seen people cheat in competition's.,Sport
My partner said some mean things to me.,Partner
There are so many rich people in my town.,Money
Nik and I have different political views.,Politics
These memes on Facebook are so hilarious these days!,Technology
My wife is celebrating my birthday month.,Partner
Governments are trying hard to lift people out of poverty.,Politics
Have you ever voted?,Politics
Rich people often have a high opinion of themselves.,Money
My hopeless relationship with my girlfriend ended today.,Partner
I hope that my television show is good.,Technology
Should I buy tree coat hanger or shelf coat hanger?,Money
Can you help me in doing my homework?,CareerAndEducation
People are suffering under poverty and the government is doing nothing.,Politics
My colleagues are fun,Colleagues
Everybody wants to get buff these days.,Health
I've never been more jealous of my friends.,Friendship
Cristiano Ronaldo has really made a name for himself.,Sport
Does money solve all the problems?,Money
My parents asked me whether I was a smoker.,Family
I want my friends to let go of this stupid enmity!,Friendship
Gymnastics is one of the best sports there is.,Sport
The invited musicians in our college are not taking it seriously.,Music
I like to play action games on PC.,Sport
Which adventure sport should I undertake?,Sport
We decided to share our experience with the other colleagues.,Colleagues
I watch and play hockey.,Sport
Did you know about this recent movie called XXX?,FilmAndTV
I try to eat healthy food to stay fit.,Food
I aim to be an expert in the field of syntax of languages.,Technology
I think my classmate is in love with me.,Colleagues
They hyped the crowd to sell their political policy.,Politics
Some days at work are dull and some are fun.,CareerAndEducation
I want to buy some new pairs of denims!,Money
He is now retiring from political life.,Politics
I have always felt like putting on sun screen but I never do.,Technology
I was thinking about my first love.,Partner
Exercising is my hobby and I like it because it keeps me fit!,Health
I like to have green vegetables.,Food
Why do we study ethics?,CareerAndEducation
I bought a new phone!,Technology
My team members are facing certain issues in their current project.,CareerAndEducation
My colleague always wears a blazer.,Colleagues
My friends dropped out of school.,Friendship
I do not like to hear my friends fight.,Friendship
I do not feel the need to compete against anyone.,Sport
William Shakespeare is regarded as the greatest writer in the English language.,FilmAndTV
I had a fight with my colleague today.,Colleagues
Bryan Adams inspires me to be a better musician.,Music
I drink loads of water in summer.,Food
My partner suddenly told me today that he is no longer happy with me!,Partner
"He needs the money, that's what motivates him to work!",Money
I want to be a healthy person.,Health
My music teacher moved to a different city.,Music
My colleague paints well.,Colleagues
My friends are finding it tough to deal with their teenage children`s.,Friendship
My boss is a wonderful person.,Colleagues
My father's heart issues are acting up again.,Family
I look forward to meet my partners.,Partner
"Against phantom competitors, businesses need involvement of entities like the government, or a change in trend and people movement.",Politics
The choices of affordable housing is meagre in Liverpool.,Sport
Many people have chosen to be a musician.,Music
I want to get married.,Family
How can we get more people to vote?,Politics
This should not have led to false motivations.,CareerAndEducation
Celebrities have an additional burden of being politically correct.,FilmAndTV
Love between a husband and wife need not be one-dimensional.,Partner
The language used in this classic novel is of a very high quality!,Music
It is not at all easy to work for long hours.,Money
My boss got into a heated argument with me.,Colleagues
I think teens nowadays spend so much time playing computer games!,Sport
I love interacting with Technologies.,Technology
My colleague and I had an argument today.,Colleagues
My boss still hates me for that.,Colleagues
I told my parents about my choice in men more than women.,Family
"Frank told me that he had followed my instructions. But, the video not as expected.",Technology
I was awarded as best business man of the year for my work.,CareerAndEducation
Daydream Festival of Belgium is one of the best electronic festivals in the world.,Music
It takes a while for someone to become your best friend.,Friendship
I have two options for expanding my business online.,Technology
Politicians earn a lot of money.,Politics
I wish I could do something for the homeless.,Money
I share a very complicated relationship with my boyfriend.,Partner
I want to learn from my memories.,Health
I will loose ten pounds in the next three months.,Health
I have no idea which warehouse to select for my product stock!,CareerAndEducation
My earphones hurt my ears,Technology
It's our college's golden jubilee tomorrow.,CareerAndEducation
Capitalism is better than socialism.,Money
Rachel and Samuel are the backbone of my life.,Friendship
My company is organizing an event.,CareerAndEducation
I eat very unhealthy food.,Food
I think everybody should invest in a good music system.,Music
The office computer needs to be fixed.,Technology
I broke up with my boyfriend.,Partner
I was getting emotional on seeing the video.,Technology
Watching my colleagues get praised makes me envious.,Colleagues
I won the tennis  doubles match.,Sport
I have a desire to try my hand at the camera!,FilmAndTV
How rich is a billionaire?,Money
Movies are fun if you are in a good mood.,FilmAndTV
"Al of the wealth belonged to their parents but still, it was theirs too!",Family
My friends did not invite me to watch a movie with them.,FilmAndTV
It was good news day for Leslie as she had been offered the place of a substitute in her team!,CareerAndEducation
My parents haven't been answering my calls for quite a while now!,Family
What do you think about Adolf Hitler?,Politics
I love to cook fishes.,Food
There's more to life than being a Politician.,Politics
Family Court judge in England and Wales is set to rule on a case where a Transgender parent refuses to register as the child’s 'mother'.,Politics
I tried to sip the water laying in bed.,Food
I felt ashamed when my boss shouted at me.,Colleagues
I had a discussion with my partners.,Partner
TV shows have changed drastically over the years.,FilmAndTV
Elections need to be more inclusive and representative.,Politics
Why should I blame my own lack of motivation on someone else?,CareerAndEducation
Most of my school friends don't live here anymore.,Friendship
Do you want to take any of his food home?,Food
I didn't have enough earnings to rent a room for me.,Money
I spend the weekend looking after my health.,Health
My brother and sister doesn't talk anymore.,Family
They earned with balloons and that was a huge income.,Money
Do you think a job as a social worker will be fulfilling?,CareerAndEducation
I binge watched a TV series last night,FilmAndTV
My boss said that I was unfit for promotion.,CareerAndEducation
I dislike my friend's taste in music.,Music
Why should I learn to eat with a chopstick?,Food
I look up to my friends for various things.,Friendship
I think my boss is an unfair person.,CareerAndEducation
Martial arts seems like a fun thing to me!,Sport
My maternal family is coming to the dinner. But I hate going to such reunions.,Friendship
I have never seen a celebrity in real life.,FilmAndTV
My fiancé and I have decided to get married in two years.,Partner
Did you know technical courses are getting the most demands nowadays.,CareerAndEducation
My counsellor has helped me to bring down my stress level.,Colleagues
My colleagues surprised me.,Colleagues
Educated children are the future of society.,Family
She blamed her colleague of physical violence!,Colleagues
Facebook says almost 50 million of its users were left exposed owing to a security flaw.,Technology
Whenever I see my photo album my memories begins to flash.,Music
I love spending time with my friends and family.,Friendship
My three nephews were fighting over that piece of cake.,Food
Maybe try to look at all the aspects and not be selfish about certain things. This about us two not the whole wide world.,Partner
Maslow's hierarchy of needs is a great way of motivation.,CareerAndEducation
My colleague makes delicious pizzas.,Food
I worked out today.,Health
My partner can be very ruthless.,Partner
I want to become a successful musician.,Music
The movie was very sad.,FilmAndTV
The student union has decided to protest the decision of the college administration.,CareerAndEducation
My dad used to stay at the office for weeks to bring his company up to where it is now.,CareerAndEducation
I don't believe in trolling Politicians anymore.,Politics
My brother has no money for his wedding.,Family
"On the other hand, she had such a sweet voice. We decided we would win the college competition this year.",Food
It was magical when I first set eyes on my partner.,Partner
I love cooking!  It makes me less stressed!,Food
I want to be a politician.,Politics
Is it important to be rich?,Money
I have to give a lecture on the importance of ethics in my office.,CareerAndEducation
I think my friend's mother is very sick.,Friendship
We were looking at a partnership firm and that's why we worked out things this way!,Partner
I don't like my new band mates.,Music
I bet a lot of money.,Money
Food bloggers are good at finding the best places to eat at.,Food
It is funny to see my childhood pictures.,Family
Would it not be better for me to associate with the rich?,Colleagues
I jumped from the terrace and broke my leg.,Health
I have been making money through freelancing ways.,Money
Whenever I meet my school friends I get nostalgic.,Friendship
My friend David finally has a girlfriend!,Friendship
These dumbbells are the best weight-lifting product in the market!,Sport
I was trying to teach my colleagues about ethics.,Colleagues
I have been talking to my parents.,Family
A lot of changes have been made in the stock market terms.,Money
"I was quite a different kid, you know!",Family
Do people always buy clothes of their trusted brands only?,Money
I like singing to other people.,Music
I want the control over myself.,Health
I don't know whether I should take up law or master's in business.,Politics
I eat nuts because they are rich in healthy fats!,Food
My friends were looking busier like never before.,Friendship
We've bought a watch to present to our boss during his retirement party.,Colleagues
My relationship with my boss has improved a lot this week.,Colleagues
My boss fired my friend today.,Friendship
I want to try baking a chicken tandoori at home one day.,Food
I don't want my kids to call Uncle Henry father!,Family
He came out of the clutches of the law due to a loophole.,Politics
"There are about 40, 000 ringers in the UK,  under the aegis of Central Council of Church Bell Ringers.",Politics
My colleague's impression in front of everyone makes me envious.,Colleagues
They don`t understand the meaning of health.,Health
My friends keep complaining that I never invite them.,Friendship
Bill Gates is the definition of humbleness.,Money
Competitions make me nervous and scared.,Sport
I had to break it to four of our employees that they were fired.,CareerAndEducation
Mobile phones and Information Technology has changed the way we live our lives.,Technology
I always surround myself with the people who are humorous.,Friendship
How can your friend go without informing us?,Friendship
Low wage workers need help from the company for their financials.,Money
My boss want to fire me. I should clarify my side to avoid misunderstandings.,CareerAndEducation
I feel like punching the manager's face for allowing the fine to occur!,CareerAndEducation
Do you love river rafting?,Sport
I love being in love. My boyfriend is the best thing.,Partner
Live in partners are in bad condition.,Partner
Yeah! There's going to be a campfire plus DJ night.,Music
I don't want to break the trust developed over time with my girlfriend.,Partner
My friends introduced me to the employees.,Friendship
I have a hatred for children.,Family
I used to play the piano when I was younger,Music
I might bake a chocolate truffle cake for my friend's birthday.,Food
Animated movies today feature a lot of anthropomorphised animals.,FilmAndTV
I have my exams next week.,CareerAndEducation
What should be done about my current health issues?,Health
My parents were looking for a caregiver for me.,Family
I enjoy drinking rum and coke.,Food
My boyfriend has been watching TV for the past two hours.,FilmAndTV
People spend a lot of money on education.,CareerAndEducation
I generally talk a lot.,CareerAndEducation
I met with an accident last month.,Health
"To such poor people, the idea of having a choice of food is barely imaginable.",Food
"When George chose me as his dance partner, Kevin grew jealous.",Partner
I like the films of Steven Spielberg.,FilmAndTV
I feel that we can do better.,CareerAndEducation
I like whiskey.,Food
My partner treats me like a princess!,Partner
I loved the music last night.,Music
Chat bots can also contribute to higher support resolution.,Technology
My boss is a very understanding person.,Colleagues
My income was going steady.,Money
My boss would give me a bonus this month.,Colleagues
My seniors are the best.,CareerAndEducation
I tripped over the stairs last night.,Health
I always appreciate my partner.,Partner
I have been fighting with my mother a lot lately.,Family
Everybody uses the printers but no one puts in new cartridges!,Technology
The telephone company called up this morning.,Technology
I plan to call any famous singer for my college fest.,Music
People should help themselves to get out of poverty.,Money
Her parents over-reacted on her stage drama.,Family
How does infidelity affect a child?,Partner
I would like to buy the best sofa available.,Money
I like cherry flavoured ice-creams.,Food
Have you read about world war two?,Politics
I always cook with my mom.,Food
Slider windows are ideal for homes with great views.,Technology
I want to earn money.,Money
She was offered a lot of money to do the marketing for the firm!,CareerAndEducation
I met an old friend today.,Friendship
We need more women politicians.,Politics
